RepRapFirmware height map file v2 generated at 2018-04-11 13:42, mean error -0.662, deviation 0.269
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
-80.00,80.10,-80.00,80.10,85.00,20.00,20.00,9,9
      0,      0,      0,      0,      0,      0,      0,      0,      0
      0, -0.171, -0.166, -0.226, -0.304,      0,      0,      0,      0
      0, -0.279, -0.362, -0.486, -0.800, -0.793, -0.799,      0,      0
 -0.236, -0.300, -0.364, -0.449, -0.611, -0.780, -0.912,      0,      0
 -0.329, -0.420, -0.467, -0.539, -0.586, -0.593, -0.519,      0,      0
 -0.698, -1.011, -0.954, -0.893, -0.776, -0.737, -0.689, -0.557,      0
      0, -0.720, -0.738, -0.717, -0.738, -0.744, -0.750,      0,      0
      0, -0.712, -0.894, -1.018, -1.057, -1.043, -0.875,      0,      0
      0,      0,      0, -0.951, -1.136, -1.231,      0,      0,      0
